GO_ID	GO_name	Ontology	study_count	study_total	pop_count	pop_total	p_value	p_adjusted
GO:0032991	protein-containing complex	CC	134	18834	280	57634	9.15683278518201e-08	1.30100547564648e-06
GO:0034613	NA	NA	85	18834	161	57634	1.06381539756805e-07	1.50597576099361e-06
GO:0039563	symbiont-mediated suppression of host JAK-STAT cascade via inhibition of STAT1 activity	BP	24	18834	30	57634	1.36124863388186e-07	1.9200510622109e-06
GO:0005777	peroxisome	CC	331	18834	801	57634	1.5147069488173e-07	2.12879211254359e-06
GO:0046760	viral budding from Golgi membrane	BP	18	18834	20	57634	1.62867134382765e-07	2.28072573436009e-06
GO:0030071	regulation of mitotic metaphase/anaphase transition	BP	25	18834	32	57634	1.72381537554232e-07	2.40530941110618e-06
GO:0030212	hyaluronan metabolic process	BP	16	18834	17	57634	1.98288042528411e-07	2.75691196272537e-06
GO:0004860	protein kinase inhibitor activity	MF	60	18834	105	57634	2.16394373881586e-07	2.99794767801073e-06
GO:0042783	evasion of host immune response	BP	22	18834	27	57634	2.54604868572708e-07	3.5148111821048e-06
GO:0044877	protein-containing complex binding	MF	86	18834	166	57634	2.67654098500539e-07	3.6818989592318e-06
GO:0051513	regulation of monopolar cell growth	BP	19	18834	22	57634	2.96918958015601e-07	4.07008980124906e-06
GO:0007099	centriole replication	BP	23	18834	29	57634	3.35218437787583e-07	4.5789662396739e-06
GO:0102991	NA	NA	17	18834	19	57634	4.50078103561558e-07	6.10506640127229e-06
GO:0045666	positive regulation of neuron differentiation	BP	17	18834	19	57634	4.50078103561558e-07	6.10506640127229e-06
