GO_ID	GO_name	Ontology	study_count	study_total	pop_count	pop_total	p_value	p_adjusted
GO:0090502	NA	NA	2018	18834	5890	57634	0.00336045861887305	0.027085435617542
GO:0003677	DNA binding	MF	1179	18834	3386	57634	0.00339031254588805	0.027157380125807
GO:1903861	positive regulation of dendrite extension	BP	11	18834	16	57634	0.00338360352786322	0.027157380125807
GO:0007142	male meiosis II	BP	11	18834	16	57634	0.00338360352786322	0.027157380125807
GO:0051457	maintenance of protein location in nucleus	BP	10	18834	14	57634	0.00342183985322196	0.0272417639030534
GO:0070056	prospore membrane leading edge	CC	10	18834	14	57634	0.00342183985322196	0.0272417639030534
GO:0036126	sperm flagellum	CC	10	18834	14	57634	0.00342183985322196	0.0272417639030534
GO:0001756	somitogenesis	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0036122	BMP binding	MF	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0005198	structural molecule activity	MF	63	18834	144	57634	0.003532396013073	0.0280515993203834
GO:0001917	photoreceptor inner segment	CC	17	18834	29	57634	0.00357714133801917	0.0280515993203834
GO:0045300	stearoyl-[ACP] desaturase activity	MF	17	18834	29	57634	0.00357714133801917	0.0280515993203834
GO:0102786	NA	NA	17	18834	29	57634	0.00357714133801917	0.0280515993203834
GO:1901877	negative regulation of calcium ion binding	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:1902081	negative regulation of calcium ion import into sarcoplasmic reticulum	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:1901895	negative regulation of ATPase-coupled calcium transmembrane transporter activity	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0030420	establishment of competence for transformation	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:1901046	positive regulation of egg-laying behavior	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:1902097	NA	NA	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0035545	determination of left/right asymmetry in nervous system	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0038066	p38MAPK cascade	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0034607	turning behavior involved in mating	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:2000632	negative regulation of pre-miRNA processing	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0035457	cellular response to interferon-alpha	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0007224	smoothened signaling pathway	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0002520	immune system development	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
GO:0060441	epithelial tube branching involved in lung morphogenesis	BP	5	18834	5	57634	0.00372532156399646	0.0280515993203834
