GO_term	taxon	taxon_id	lineage
GO:0033310	Brassicaceae	3700.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae
GO:0051966	Eumetazoa	6072.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa
GO:0015706	root	1.0	root
GO:0003887	Unknown		3470597
GO:0045836	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0002237	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0030378	cellular organisms	131567.0	root | cellular organisms
GO:0051920	cellular organisms	131567.0	root | cellular organisms
GO:0039540	Viruses	10239.0	root | Viruses
GO:0005669	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0071561	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0006476	cellular organisms	131567.0	root | cellular organisms
GO:0004719	root	1.0	root
GO:0047341	cellular organisms	131567.0	root | cellular organisms
GO:0001401	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0051723	cellular organisms	131567.0	root | cellular organisms
GO:0010965	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0003774	cellular organisms	131567.0	root | cellular organisms
GO:0019008	Unknown		
GO:0007173	cellular organisms	131567.0	root | cellular organisms
GO:0031765	Euteleostomi	117571.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi
GO:0071107	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0009769	rosids	71275.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids
GO:0046776	Viruses	10239.0	root | Viruses
GO:1903459	Fungi	4751.0	root | cellular organisms | Eukaryota | Opisthokonta | Fungi
GO:0061157	cellular organisms	131567.0	root | cellular organisms
GO:0140581	cellular organisms	131567.0	root | cellular organisms
GO:0042565	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0007610	Unknown		
GO:0060918	Magnoliopsida	3398.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida
