ProteinID	sim_BP	sim_MF	sim_CC
CSH1-2g11948	7.07165617994657	6.61626554786024	7.78949597309689
CSH1-2g10858	NA	3.31785717973332	NA
CSH1-3g16413	NA	1.56930349638079	NA
CSH1-8g40427	NA	7.45802180310143	NA
CSH1-9g43672	NA	8.50267434276084	4.66700007156857
CSH1-5g25362	NA	7.16409037105787	NA
CSH1-9g41927	6.3444412069138	NA	NA
CSH1-2g10740	NA	4.03206316849735	NA
CSH1-3g14280	NA	4.02134333808844	NA
CSH1-1g04839	6.79992431127364	4.89619360579556	6.46021119289973
CSH1-2g08641	5.86240176759505	7.69169241664842	7.60371419488064
CSH1-2g09103	10.7852282466509	NA	NA
CSH1-7g36500	3.70777350265115	4.72205807331267	NA
CSH1-8g38538	NA	7.16409037105787	NA
CSH1-8g37204	NA	1.86951029661771	NA
CSH1-5g24569	NA	NA	6.06372224294161
CSH1-3g15610	NA	4.02134333808844	NA
CSH1-8g37699	NA	6.99459219536816	NA
CSH1-11g51490	4.06285876796568	10.7852282466509	NA
CSH1-1g03963	NA	4.89838434530429	7.52848096885462
CSH1-1g05633	4.87082670779542	NA	NA
CSH1-1g00258	NA	2.88071875889519	5.1906488105044
CSH1-11g49855	6.63719933196779	10.7852282466509	7.4179324166644
CSH1-11g50406	7.22988018516146	NA	NA
CSH1-8g39427	5.51449476615942	4.27750526368311	5.37805647519076
CSH1-1g00451	6.01613773511949	NA	4.36374745369577
CSH1-1g05391	4.9019058581626	5.52318154790363	NA
CSH1-9g42415	NA	8.0944262634204	NA
CSH1-10g46878	3.52965045785411	NA	NA
CSH1-5g21580	NA	NA	0
CSH1-1g03109	10.4386546563709	6.73742889596178	7.60371419488064
CSH1-5g25729	NA	7.03413500334941	NA
CSH1-11g53725	8.14617091703562	8.17868281252835	NA
CSH1-3g13471	NA	NA	4.83659510404265
CSH1-3g12600	2.76945822570839	3.22610733571047	NA
CSH1-3g14727	NA	8.54655983941177	7.78949597309689
CSH1-6g30040	NA	NA	3.21221099059833
CSH1-9g42872	6.20026076798031	NA	4.12073948189356
CSH1-1g05376	6.85833545185	10.7852282466509	4.58841002093894
CSH1-2g11711	NA	3.28304176004795	6.9987196186246
CSH1-5g26659	8.14617091703562	7.84078926748444	NA
CSH1-2g09776	NA	3.31785717973332	NA
CSH1-3g13878	NA	5.19707444430991	6.81421392440028
CSH1-10g48287	7.8381237904349	10.7852282466509	3.21221099059833
CSH1-1g01930	5.3270703379171	6.57558720628989	NA
CSH1-4g19006	NA	7.16409037105787	NA
CSH1-3g13125	NA	5.55849812526446	7.78949597309689
CSH1-5g23844	8.29051813548732	9.39893388553099	7.52740259956229
CSH1-2g11989	NA	4.20215729401547	NA
CSH1-12g56137	NA	3.31785717973332	NA
CSH1-5g24440	9.92253662455524	7.97172748010193	NA
CSH1-4g20497	0	NA	NA
CSH1-2g07857	7.89485648875471	NA	6.95418302755837
CSH1-8g40435	10.7852282466509	7.9613866736634	8.53612896736815
CSH1-5g25752	NA	7.03413500334941	NA
CSH1-7g32751	NA	1.90703614664732	NA
CSH1-5g26215	9.17579033421678	4.70988221556219	4.51171828135379
CSH1-6g31065	8.21732902812575	8.39852509450153	NA
CSH1-7g33776	NA	7.03413500334941	NA
CSH1-3g15032	NA	1.56930349638079	3.08890196754999
CSH1-5g27181	8.70578670497104	10.1857544284513	9.68661595798277
CSH1-3g15636	NA	4.68490929463081	NA
CSH1-3g14024	4.62109564757031	7.21974784435258	NA
